timestamp,user,system
1732063090,0.0,0.0
1732063091,0.0,0.0
1732063092,0.0,0.0
1732063093,0.7,0.7
1732063094,0.0,0.0
1732063095,0.0,0.1
1732063096,0.0,0.0
1732063097,0.0,0.1
1732063098,0.4,0.2
1732063099,1.5,0.8
1732063100,3.1,1.8
1732063101,5.2,2.9
1732063102,4.8,2.4
1732063103,3.8,2.0
1732063104,4.2,2.0
1732063105,4.2,2.1
1732063106,4.7,1.8
1732063107,4.0,1.8
1732063108,6.4,2.9
1732063109,6.3,2.7
1732063110,9.2,3.6
1732063111,4.4,1.9
1732063112,6.3,2.8
1732063113,8.8,3.3
1732063114,8.7,3.2
1732063115,11.4,4.8
1732063116,9.3,3.4
1732063117,7.7,2.7
1732063118,11.3,3.8
1732063119,9.0,3.4
1732063120,11.0,3.9
1732063121,7.8,3.0
1732063122,8.3,3.2
1732063123,7.3,3.0
1732063124,10.6,4.2
1732063125,7.4,3.0
1732063126,7.9,2.9
1732063127,7.1,2.5
1732063128,11.9,4.3
1732063129,9.2,3.3
1732063130,7.6,3.1
1732063131,9.8,3.7
1732063132,10.1,3.8
1732063133,7.3,2.8
1732063134,9.2,3.7
1732063135,10.6,4.2
1732063136,10.9,4.9
1732063137,10.6,3.4
1732063138,12.9,4.7
1732063139,7.8,3.2
1732063140,9.0,3.4
1732063141,9.9,3.5
1732063142,7.9,3.0
1732063143,10.0,3.8
1732063144,3.5,1.4
1732063145,12.7,4.4
1732063146,12.5,4.2
1732063147,10.3,3.2
1732063148,13.4,4.6
1732063149,9.8,3.8
1732063150,9.5,3.6
1732063151,7.8,3.4
1732063152,7.2,2.8
1732063153,8.6,3.2
1732063154,11.4,4.3
1732063155,12.3,4.8
1732063156,7.3,2.5
1732063157,9.7,3.3
1732063158,11.4,4.3
1732063159,8.6,3.2
1732063160,9.6,3.5
1732063161,9.8,4.2
1732063162,9.5,3.7
1732063163,8.2,3.0
1732063164,11.4,4.7
1732063165,7.4,3.0
1732063166,10.8,3.8
1732063167,9.7,3.8
1732063168,11.7,4.2
1732063169,12.7,4.6
1732063170,10.3,3.9
1732063171,16.2,5.9
1732063172,11.9,3.9
1732063173,10.2,3.9
1732063174,11.5,4.8
1732063175,12.5,4.8
1732063176,13.0,4.9
1732063177,12.3,4.5
1732063178,11.2,4.5
1732063179,9.5,3.4
1732063180,4.5,1.8
1732063181,12.5,4.4
1732063182,7.4,2.6
1732063183,13.5,4.4
1732063184,9.0,3.5
1732063185,10.2,3.5
1732063186,10.7,3.9
1732063187,7.7,2.8
1732063188,9.0,3.3
1732063189,7.2,2.6
1732063190,8.6,3.1
1732063191,13.9,5.1
1732063192,12.0,4.2
1732063193,11.3,3.8
1732063194,7.3,2.9
1732063195,13.5,4.6
1732063196,9.2,3.5
1732063197,11.0,3.9
1732063198,9.9,3.4
1732063199,15.8,6.1
1732063200,22.1,7.9
1732063201,18.8,7.1
1732063202,13.9,4.8
1732063203,18.4,7.0
1732063204,18.5,6.2
1732063205,17.2,6.2
1732063206,14.5,4.8
1732063207,5.8,2.3
1732063208,19.8,6.7
1732063209,14.4,5.6
1732063210,8.6,3.5
1732063211,14.2,5.3
1732063212,11.4,3.7
1732063213,20.8,6.4
