timestamp,user,system
1731972867,0.0,0.1
1731972868,0.0,0.1
1731972869,0.0,0.0
1731972870,0.0,0.0
1731972871,0.0,0.1
1731972872,0.1,0.1
1731972873,0.0,0.1
1731972874,0.1,0.1
1731972875,0.0,0.0
1731972876,0.0,0.0
1731972877,0.0,0.1
1731972878,0.1,0.1
1731972879,0.0,0.1
1731972880,0.0,0.0
1731972881,0.0,0.0
1731972882,0.0,0.1
1731972883,0.0,0.0
1731972884,0.1,0.1
1731972885,0.0,0.1
1731972886,0.0,0.0
1731972887,0.0,0.0
1731972888,0.1,0.0
1731972889,0.0,0.1
1731972890,0.0,0.1
1731972891,0.1,0.0
1731972892,0.1,0.1
1731972893,0.5,0.6
1731972894,0.1,0.0
1731972895,0.0,0.1
1731972896,0.0,0.1
1731972897,0.0,0.0
1731972898,0.0,0.1
1731972899,0.0,0.0
1731972900,0.0,0.0
1731972901,0.0,0.1
1731972902,0.0,0.1
1731972903,0.3,0.1
1731972904,3.8,1.1
1731972905,4.8,2.4
1731972906,5.8,2.9
1731972907,6.1,2.9
1731972908,7.9,3.4
1731972909,6.2,2.9
1731972910,4.8,2.7
1731972911,11.0,4.3
1731972912,9.9,3.6
1731972913,12.2,5.0
1731972914,14.2,5.9
1731972915,11.1,4.3
1731972916,13.1,5.0
1731972917,15.9,6.0
1731972918,12.5,4.6
1731972919,11.0,4.2
1731972920,11.0,4.8
1731972921,10.6,4.6
1731972922,12.5,5.1
1731972923,13.8,5.2
1731972924,13.8,5.5
1731972925,15.0,5.8
1731972926,14.8,5.7
1731972927,12.7,5.2
1731972928,13.8,5.4
1731972929,14.8,5.0
1731972930,12.5,5.1
1731972931,12.8,4.8
1731972932,15.1,6.3
1731972933,13.9,5.4
1731972934,16.3,5.6
1731972935,17.3,6.5
1731972936,20.3,7.8
1731972937,18.3,7.6
1731972938,18.4,8.2
1731972939,17.3,6.2
1731972940,19.9,7.0
1731972941,16.0,6.0
1731972942,10.1,4.2
1731972943,8.7,4.1
1731972944,9.7,3.8
1731972945,13.6,5.7
1731972946,12.4,4.8
1731972947,9.2,3.6
1731972948,14.9,5.6
1731972949,12.0,4.8
1731972950,11.1,4.5
1731972951,11.1,4.6
1731972952,8.9,3.6
1731972953,10.4,4.1
1731972954,10.3,4.3
1731972955,11.2,4.6
1731972956,13.1,4.7
1731972957,12.7,5.0
1731972958,14.1,5.7
1731972959,12.1,4.5
1731972960,12.7,4.6
1731972961,14.1,5.3
1731972962,11.1,4.2
1731972963,12.6,4.2
1731972964,7.7,3.2
1731972965,9.8,3.9
1731972966,10.8,4.1
1731972967,11.6,4.1
1731972968,10.4,3.6
1731972969,11.3,4.3
1731972970,13.4,4.7
1731972971,12.9,4.7
1731972972,14.9,5.7
1731972973,14.7,5.6
1731972974,14.8,5.4
1731972975,13.9,5.5
1731972976,12.7,4.7
1731972977,10.1,4.2
1731972978,16.3,6.2
1731972979,13.2,5.7
1731972980,14.7,6.0
1731972981,14.0,5.1
1731972982,13.7,5.5
1731972983,15.8,5.5
1731972984,17.4,6.9
1731972985,13.8,5.4
1731972986,13.2,5.1
1731972987,14.4,5.5
1731972988,17.5,6.7
1731972989,13.3,4.9
1731972990,12.7,4.6
1731972991,16.7,5.7
1731972992,15.0,6.2
1731972993,14.5,5.8
1731972994,12.7,5.3
1731972995,15.8,5.8
1731972996,14.9,6.1
1731972997,15.8,6.3
1731972998,13.7,4.7
1731972999,15.1,5.2
1731973000,11.1,4.3
1731973001,12.8,6.0
1731973002,18.8,6.5
1731973003,20.3,7.3
1731973004,21.7,7.1
1731973005,17.3,6.0
1731973006,20.2,7.9
1731973007,17.8,6.7
1731973008,15.4,5.7
1731973009,13.5,4.8
1731973010,20.6,8.0
1731973011,9.0,3.5
1731973012,15.0,5.3
1731973013,18.8,6.6
1731973014,22.7,8.7
1731973015,19.0,7.4
