timestamp,user,system
1732066170,0.1,0.1
1732066171,0.4,0.3
1732066172,0.0,0.0
1732066173,0.0,0.0
1732066174,0.0,0.1
1732066175,0.0,0.1
1732066176,0.1,0.0
1732066177,0.0,0.1
1732066178,0.5,0.5
1732066179,0.0,0.0
1732066180,0.0,0.0
1732066181,0.0,0.1
1732066182,0.0,0.0
1732066183,0.7,0.5
1732066184,0.0,0.1
1732066185,0.0,0.1
1732066186,0.0,0.1
1732066187,0.0,0.0
1732066188,0.2,0.2
1732066189,0.3,0.1
1732066190,1.1,0.8
1732066191,1.6,1.1
1732066192,2.4,1.1
1732066193,2.8,1.6
1732066194,2.6,1.3
1732066195,2.7,1.4
1732066196,2.3,1.0
1732066197,2.1,0.9
1732066198,3.4,1.3
1732066199,3.0,1.6
1732066200,8.7,3.9
1732066201,3.2,1.3
1732066202,4.5,1.6
1732066203,2.9,1.1
1732066204,3.3,1.4
1732066205,3.5,1.1
1732066206,3.7,1.4
1732066207,3.0,0.9
1732066208,3.5,1.5
1732066209,5.3,1.5
1732066210,4.3,1.5
1732066211,4.3,1.4
1732066212,4.8,1.6
1732066213,6.4,2.1
1732066214,4.2,1.3
1732066215,4.5,1.8
1732066216,4.7,1.9
1732066217,5.3,1.8
1732066218,5.3,1.8
1732066219,7.4,2.4
1732066220,7.4,1.9
1732066221,6.7,2.3
1732066222,5.9,1.8
1732066223,6.6,2.5
1732066224,6.3,2.5
1732066225,7.7,2.7
1732066226,6.9,2.4
1732066227,7.5,2.5
1732066228,6.9,2.4
1732066229,6.7,2.3
1732066230,12.1,4.2
1732066231,9.5,3.6
1732066232,7.5,2.8
1732066233,6.6,2.1
1732066234,9.0,3.2
1732066235,8.3,2.7
1732066236,7.1,2.4
1732066237,7.7,2.9
1732066238,5.9,2.0
1732066239,7.4,2.7
1732066240,6.9,2.4
1732066241,9.0,2.8
1732066242,9.7,2.8
1732066243,7.0,2.4
1732066244,6.4,2.0
1732066245,7.2,2.5
1732066246,7.3,2.6
1732066247,4.1,1.6
1732066248,6.7,2.3
1732066249,7.3,2.4
1732066250,4.8,1.5
1732066251,6.8,2.4
1732066252,5.6,1.8
1732066253,8.1,2.9
1732066254,5.7,2.0
1732066255,5.9,1.8
1732066256,8.3,2.9
1732066257,8.3,2.8
1732066258,8.9,2.9
1732066259,9.5,3.3
1732066260,16.4,6.0
1732066261,7.5,2.1
1732066262,8.2,2.7
1732066263,9.7,2.8
1732066264,6.8,2.3
1732066265,5.4,1.5
1732066266,6.1,2.1
1732066267,7.2,2.2
1732066268,8.7,2.8
1732066269,5.8,2.0
1732066270,8.4,2.7
1732066271,8.1,2.4
1732066272,6.3,2.1
1732066273,9.5,2.9
1732066274,7.9,2.8
1732066275,7.1,2.4
1732066276,7.7,2.4
1732066277,6.8,2.5
1732066278,8.2,2.7
1732066279,8.8,2.9
1732066280,9.6,3.0
1732066281,6.4,1.9
1732066282,10.9,3.7
