timestamp,user,system
1731972113,0.1,0.0
1731972114,0.1,0.1
1731972115,0.4,0.4
1731972116,0.0,0.0
1731972117,0.6,0.6
1731972118,1.1,3.4
1731972119,0.1,0.1
1731972120,0.1,0.3
1731972121,0.0,0.1
1731972122,0.0,0.0
1731972123,0.1,0.0
1731972124,0.0,0.1
1731972125,0.1,0.3
1731972126,0.0,0.0
1731972127,0.0,0.1
1731972128,0.0,0.0
1731972129,0.0,0.1
1731972130,0.0,0.0
1731972131,0.0,0.0
1731972132,0.0,0.0
1731972133,0.0,0.1
1731972134,0.3,0.4
1731972135,0.6,1.1
1731972136,1.3,1.9
1731972137,0.8,2.1
1731972138,1.0,2.0
1731972139,0.5,1.7
1731972140,0.6,1.9
1731972141,1.2,1.9
1731972142,1.3,2.7
1731972143,1.2,2.8
1731972144,1.0,2.7
1731972145,0.6,2.0
1731972146,0.9,1.5
1731972147,0.6,1.8
1731972148,0.6,1.3
1731972149,0.8,2.2
1731972150,0.5,1.4
1731972151,0.6,1.5
1731972152,1.1,2.4
1731972153,0.9,1.8
1731972154,0.6,2.0
1731972155,1.1,2.7
1731972156,1.0,3.1
1731972157,0.6,1.3
1731972158,1.3,2.2
1731972159,0.6,1.9
1731972160,0.8,1.9
1731972161,1.0,2.7
1731972162,0.8,2.6
1731972163,1.3,2.8
1731972164,0.8,2.6
1731972165,0.6,1.8
1731972166,0.9,2.2
1731972167,0.8,2.3
1731972168,0.9,2.3
1731972169,1.0,2.6
1731972170,1.1,2.9
1731972171,0.9,2.8
1731972172,0.9,2.6
1731972173,1.2,2.1
1731972174,0.9,1.4
1731972175,1.9,1.4
1731972176,1.0,1.8
1731972177,1.8,1.8
1731972178,1.8,2.1
1731972179,1.8,2.1
1731972180,1.7,1.9
1731972181,1.3,1.3
1731972182,1.5,1.7
1731972183,1.9,1.8
1731972184,1.8,2.2
1731972185,1.2,1.4
1731972186,1.3,1.8
1731972187,1.2,1.4
1731972188,1.7,1.7
1731972189,1.7,2.1
1731972190,1.8,1.9
1731972191,1.4,2.1
1731972192,1.3,1.7
1731972193,1.9,1.8
1731972194,1.3,1.8
1731972195,1.4,1.9
1731972196,1.4,1.7
1731972197,1.9,2.2
1731972198,2.2,2.3
1731972199,1.7,2.2
1731972200,1.4,1.8
1731972201,1.5,2.4
1731972202,1.9,2.1
1731972203,2.0,2.7
1731972204,3.3,3.1
1731972205,2.6,2.2
1731972206,3.0,3.0
1731972207,2.3,2.2
1731972208,2.4,2.4
1731972209,2.4,1.9
1731972210,4.2,3.4
1731972211,3.6,3.2
1731972212,3.1,2.7
1731972213,2.3,2.3
1731972214,2.3,2.5
1731972215,3.1,2.9
