timestamp,user,system
1732663016,0.0,0.3
1732663017,0.1,0.0
1732663018,0.0,0.1
1732663019,0.0,0.1
1732663020,0.5,0.5
1732663021,0.1,0.0
1732663022,0.0,0.2
1732663023,0.5,0.3
1732663024,0.3,0.1
1732663025,0.7,0.5
1732663026,1.5,1.4
1732663027,4.2,2.0
1732663028,4.3,2.2
1732663029,4.4,2.4
1732663030,2.9,1.8
1732663031,5.5,2.5
1732663032,4.5,2.4
1732663033,6.1,3.4
1732663034,9.5,3.9
1732663035,11.7,5.2
1732663036,15.2,6.1
1732663037,12.7,5.1
1732663038,15.8,5.7
1732663039,15.4,5.8
1732663040,11.7,4.6
1732663041,10.1,4.2
1732663042,14.2,5.1
1732663043,17.3,6.5
1732663044,17.5,6.1
1732663045,11.3,4.6
1732663046,13.9,5.6
1732663047,12.5,4.8
1732663048,10.7,4.7
1732663049,13.7,5.8
1732663050,16.4,7.0
1732663051,12.8,4.9
1732663052,14.5,5.8
1732663053,16.4,6.1
1732663054,16.8,5.9
1732663055,13.6,5.1
1732663056,11.1,4.2
1732663057,19.4,6.9
1732663058,13.5,5.2
1732663059,16.7,6.2
1732663060,18.8,6.7
1732663061,12.8,5.0
1732663062,16.9,6.3
1732663063,18.2,7.0
1732663064,17.6,6.6
1732663065,19.4,7.0
1732663066,18.0,6.4
1732663067,16.9,5.6
1732663068,23.4,8.7
1732663069,19.6,7.2
1732663070,15.8,6.0
1732663071,20.6,7.3
1732663072,18.5,6.8
1732663073,17.6,6.6
1732663074,16.3,6.2
1732663075,16.6,6.5
1732663076,19.4,6.9
1732663077,21.8,8.3
1732663078,14.2,5.2
1732663079,16.1,6.2
1732663080,14.1,5.4
1732663081,16.3,6.3
1732663082,14.2,5.2
1732663083,15.2,5.3
1732663084,14.8,5.9
1732663085,12.8,5.2
1732663086,16.3,6.3
1732663087,17.8,6.1
1732663088,13.7,4.9
1732663089,16.9,6.2
1732663090,17.8,6.4
1732663091,12.5,5.0
1732663092,17.1,6.5
1732663093,21.5,7.7
1732663094,14.9,5.6
1732663095,18.9,6.5
1732663096,13.0,5.5
1732663097,14.9,5.9
1732663098,16.6,5.9
1732663099,14.3,5.1
1732663100,13.9,5.2
1732663101,19.2,7.2
